,start,end,id,num_type,string_type,bool_type,void,input,output,if,elseif,else,switch,case,default,colon,while,for,do_while,break,continue,try,catch,finally,throw,function,return,l_paren,r_paren,l_brace,r_brace,l_brack,r_brack,semi,comma,assign_as,assign_add,assign_min,assign_mul,assign_div,assign_mod,incre,decre,log_or,log_and,log_not,rel_eq,rel_neq,rel_ls,rel_lse,rel_gt,rel_gte,arith_add,arith_sub,arith_mul,arith_div,arith_mod,numlit,stringlit,true,false,eof
LOGIC_OR',,,,,,,,,,,,,,,,<LOGIC_OR'> → ε,,,,,,,,,,,,,<LOGIC_OR>' → ε,,,,<LOGIC_OR>' → ε,<LOGIC_OR>' → ε,<LOGIC_OR>' → ε,,,,,,,,,<LOGIC_OR>' → log_or <LOGIC_AND> <LOGIC_OR>',,,,,,,,,,,,,,,,,,
LOGIC_AND,,,<LOGIC_AND> → <EQUALITY> <LOGIC_AND>',,,,,,,,,,,,,,,,,,,,,,,,,<LOGIC_AND> → <EQUALITY> <LOGIC_AND>',,,,,,,,,,,,,,,,,,<LOGIC_AND> → <EQUALITY> <LOGIC_AND>',,,,,,,<LOGIC_AND> → <EQUALITY> <LOGIC_AND>',<LOGIC_AND> → <EQUALITY> <LOGIC_AND>',,,,<LOGIC_AND> → <EQUALITY> <LOGIC_AND>',<LOGIC_AND> → <EQUALITY> <LOGIC_AND>',<LOGIC_AND> → <EQUALITY> <LOGIC_AND>',<LOGIC_AND> → <EQUALITY> <LOGIC_AND>',
LOGIC_AND',,,,,,,,,,,,,,,,<LOGIC_AND'> → ε,,,,,,,,,,,,,<LOGIC_AND>' → ε,,,,<LOGIC_AND>' → ε,<LOGIC_AND>' → ε,<LOGIC_AND>' → ε,,,,,,,,,<LOGIC_AND>' → ε,<LOGIC_AND>' → log_and <EQUALITY> <LOGIC_AND>',,,,,,,,,,,,,,,,,
EQUALITY,,,<EQUALITY> → <RELATIONAL> <EQUALITY>',,,,,,,,,,,,,,,,,,,,,,,,,<EQUALITY> → <RELATIONAL> <EQUALITY>',,,,,,,,,,,,,,,,,,<EQUALITY> → <RELATIONAL> <EQUALITY>',,,,,,,<EQUALITY> → <RELATIONAL> <EQUALITY>',<EQUALITY> → <RELATIONAL> <EQUALITY>',,,,<EQUALITY> → <RELATIONAL> <EQUALITY>',<EQUALITY> → <RELATIONAL> <EQUALITY>',<EQUALITY> → <RELATIONAL> <EQUALITY>',<EQUALITY> → <RELATIONAL> <EQUALITY>',
EQUALITY',,,,,,,,,,,,,,,,<EQUALITY'> → ε,,,,,,,,,,,,,<EQUALITY>' → ε,,,,<EQUALITY>' → ε,<EQUALITY>' → ε,<EQUALITY>' → ε,,,,,,,,,<EQUALITY>' → ε,<EQUALITY>' → ε,,<EQUALITY>' → rel_eq <RELATIONAL> <EQUALITY>',<EQUALITY>' → rel_neq <RELATIONAL> <EQUALITY>',,,,,,,,,,,,,,
RELATIONAL,,,<RELATIONAL> → <ADDITIVE> <RELATIONAL>',,,,,,,,,,,,,,,,,,,,,,,,,<RELATIONAL> → <ADDITIVE> <RELATIONAL>',,,,,,,,,,,,,,,,,,<RELATIONAL> → <ADDITIVE> <RELATIONAL>',,,,,,,<RELATIONAL> → <ADDITIVE> <RELATIONAL>',<RELATIONAL> → <ADDITIVE> <RELATIONAL>',,,,<RELATIONAL> → <ADDITIVE> <RELATIONAL>',<RELATIONAL> → <ADDITIVE> <RELATIONAL>',<RELATIONAL> → <ADDITIVE> <RELATIONAL>',<RELATIONAL> → <ADDITIVE> <RELATIONAL>',
RELATIONAL',,,,,,,,,,,,,,,,<RELATIONAL'> → ε,,,,,,,,,,,,,<RELATIONAL>' → ε,,,,<RELATIONAL>' → ε,<RELATIONAL>' → ε,<RELATIONAL>' → ε,,,,,,,,,<RELATIONAL>' → ε,<RELATIONAL>' → ε,,<RELATIONAL>' → ε,<RELATIONAL>' → ε,<RELATIONAL>' → rel_ls <ADDITIVE> <RELATIONAL>',<RELATIONAL>' → rel_lse <ADDITIVE> <RELATIONAL>',<RELATIONAL>' → rel_gt <ADDITIVE> <RELATIONAL>',<RELATIONAL>' → rel_gte <ADDITIVE> <RELATIONAL>',,,,,,,,,,
ADDITIVE,,,<ADDITIVE> → <MULTIPLICATIVE> <ADDITIVE>',,,,,,,,,,,,,,,,,,,,,,,,,<ADDITIVE> → <MULTIPLICATIVE> <ADDITIVE>',,,,,,,,,,,,,,,,,,<ADDITIVE> → <MULTIPLICATIVE> <ADDITIVE>',,,,,,,<ADDITIVE> → <MULTIPLICATIVE> <ADDITIVE>',<ADDITIVE> → <MULTIPLICATIVE> <ADDITIVE>',,,,<ADDITIVE> → <MULTIPLICATIVE> <ADDITIVE>',<ADDITIVE> → <MULTIPLICATIVE> <ADDITIVE>',<ADDITIVE> → <MULTIPLICATIVE> <ADDITIVE>',<ADDITIVE> → <MULTIPLICATIVE> <ADDITIVE>',
ADDITIVE',,,,,,,,,,,,,,,,<ADDITIVE'> → ε,,,,,,,,,,,,,<ADDITIVE>' → ε,,,,<ADDITIVE>' → ε,<ADDITIVE>' → ε,<ADDITIVE>' → ε,,,,,,,,,<ADDITIVE>' → ε,<ADDITIVE>' → ε,,<ADDITIVE>' → ε,<ADDITIVE>' → ε,<ADDITIVE>' → ε,<ADDITIVE>' → ε,<ADDITIVE>' → ε,<ADDITIVE>' → ε,<ADDITIVE>' → arith_add <MULTIPLICATIVE> <ADDITIVE>',<ADDITIVE>' → arith_sub <MULTIPLICATIVE> <ADDITIVE>',,,,,,,,
MULTIPLICATIVE,,,<MULTIPLICATIVE> → <UNARY> <MULTIPLICATIVE>',,,,,,,,,,,,,,,,,,,,,,,,,<MULTIPLICATIVE> → <UNARY> <MULTIPLICATIVE>',,,,,,,,,,,,,,,,,,<MULTIPLICATIVE> → <UNARY> <MULTIPLICATIVE>',,,,,,,<MULTIPLICATIVE> → <UNARY> <MULTIPLICATIVE>',<MULTIPLICATIVE> → <UNARY> <MULTIPLICATIVE>',,,,<MULTIPLICATIVE> → <UNARY> <MULTIPLICATIVE>',<MULTIPLICATIVE> → <UNARY> <MULTIPLICATIVE>',<MULTIPLICATIVE> → <UNARY> <MULTIPLICATIVE>',<MULTIPLICATIVE> → <UNARY> <MULTIPLICATIVE>',
MULTIPLICATIVE',,,,,,,,,,,,,,,,<MULTIPLICATIVE'> → ε,,,,,,,,,,,,,<MULTIPLICATIVE>' → ε,,,,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,,,,,,,,,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → ε,<MULTIPLICATIVE>' → arith_mul <UNARY> <MULTIPLICATIVE>',<MULTIPLICATIVE>' → arith_div <UNARY> <MULTIPLICATIVE>',<MULTIPLICATIVE>' → arith_mod <UNARY> <MULTIPLICATIVE>',,,,,
UNARY,,,<UNARY> → <PRIMARY>,,,,,,,,,,,,,,,,,,,,,,,,,<UNARY> → <PRIMARY>,,,,,,,,,,,,,,,,,,<UNARY> → log_not <UNARY>,,,,,,,<UNARY> → arith_add <UNARY>,<UNARY> → arith_sub <UNARY>,,,,<UNARY> → <PRIMARY>,<UNARY> → <PRIMARY>,<UNARY> → <PRIMARY>,<UNARY> → <PRIMARY>,
PRIMARY,,,<PRIMARY> → id <PRIMARY>',,,,,,,,,,,,,,,,,,,,,,,,,<PRIMARY> → l_paren <EXPRESSION> r_paren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<PRIMARY> → <LITERAL>,<PRIMARY> → <LITERAL>,<PRIMARY> → <LITERAL>,<PRIMARY> → <LITERAL>,
PRIMARY',,,,,,,,,,,,,,,,<PRIMARY'> → ε,,,,,,,,,,,,<PRIMARY>' → l_paren <ARG_LIST> r_paren,<PRIMARY>' → ε,,,<PRIMARY>' → l_brack <EXPRESSION> r_brack,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,,,,,,,,,<PRIMARY>' → ε,<PRIMARY>' → ε,,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,<PRIMARY>' → ε,,,,,
LITERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<LITERAL> → numlit,<LITERAL> → stringlit,<LITERAL> → true,<LITERAL> → false,
